Yr,Mon,Contribs,Followers
2008, 4, 147, 7
2012, 5, 147, 1
2012, 10, 146, 5
2013, 1, 146, 10
2014, 3, 146, 6
2013, 11, 146, 2
2011, 3, 146, 2
2011, 9, 145, 4
2010, 12, 145, 1
2014, 12, 145, 1
2013, 5, 145, 28
2014, 8, 144, 28
2014, 8, 144, 2
2013, 7, 144, 1
2011, 7, 144, 10
2011, 6, 143, 6
2012, 3, 143, 3
2014, 3, 143, 20
2013, 3, 143, 0
2015, 2, 143, 3
2012, 1, 143, 6
2013, 6, 143, 2
2012, 5, 142, 4
2014, 12, 142, 0
2014, 1, 142, 1
2012, 1, 142, 6
2015, 6, 142, 0
2013, 1, 142, 2
2014, 10, 142, 2
2011, 11, 142, 4
2011, 4, 142, 7
2015, 2, 142, 0
2011, 10, 141, 54
2012, 10, 141, 8
2013, 9, 141, 15
2014, 5, 141, 4
2012, 6, 141, 14
2011, 1, 141, 1
2013, 11, 141, 4
2012, 5, 141, 7
2015, 1, 140, 2
2014, 7, 140, 1
2010, 10, 140, 1
2015, 2, 140, 3
2011, 6, 140, 22
2012, 7, 140, 13
2012, 3, 140, 4
2014, 3, 140, 0
2011, 6, 139, 15
2011, 2, 139, 3
2012, 12, 139, 3
2010, 5, 139, 25
2013, 11, 139, 5
2009, 3, 139, 5
2010, 10, 139, 15
2015, 2, 138, 1
2013, 3, 138, 19
2011, 9, 138, 32
2015, 1, 138, 4
2008, 3, 138, 20
2011, 4, 138, 1
2008, 5, 138, 9
2015, 3, 138, 0
2011, 4, 138, 2
2015, 3, 137, 0
2013, 12, 137, 0
2012, 3, 137, 2
2012, 11, 137, 6
2014, 10, 137, 2
2015, 4, 137, 0
2012, 2, 136, 23
2012, 8, 136, 5
2013, 8, 136, 9
2009, 9, 136, 31
2014, 2, 136, 4
2011, 1, 135, 17
2014, 9, 135, 0
2011, 1, 135, 2
2013, 4, 135, 8
2013, 2, 135, 16
2012, 1, 135, 0
2011, 3, 134, 3
2014, 4, 134, 4
2012, 12, 134, 4
2012, 2, 134, 27
2013, 7, 134, 18
2013, 3, 133, 2
2012, 12, 133, 2
2010, 1, 133, 43
2008, 7, 133, 31
2013, 7, 133, 6
2015, 2, 133, 6
2014, 9, 133, 3
2010, 10, 133, 2
2014, 6, 133, 0
2012, 3, 132, 27
2009, 12, 132, 16
2012, 3, 132, 6
2009, 6, 132, 23
2015, 7, 132, 1
2012, 3, 131, 10
2014, 9, 131, 10
2014, 1, 131, 4
2012, 5, 131, 8
2014, 5, 131, 13
2011, 10, 131, 4
2011, 2, 131, 27
2014, 11, 131, 2
2011, 12, 131, 10
2014, 11, 130, 1
2010, 7, 130, 32
2010, 7, 130, 2
2011, 7, 130, 81
2015, 2, 130, 0
2011, 6, 129, 3
2011, 10, 129, 20
2013, 1, 129, 22
2014, 3, 129, 4
2011, 12, 128, 2
2013, 9, 128, 4
2009, 2, 128, 2
2015, 2, 128, 0
2009, 3, 128, 0
2011, 3, 128, 8
2013, 8, 128, 219
2012, 6, 128, 87
2012, 10, 127, 1
2012, 1, 127, 0
2015, 9, 127, 6
2013, 2, 127, 1
2012, 7, 127, 5
2013, 12, 127, 0
2012, 9, 127, 4
2015, 3, 127, 2
2013, 9, 127, 9
2014, 10, 127, 0
2015, 3, 126, 3
2011, 7, 126, 40
2011, 12, 126, 8
2010, 9, 126, 5
2012, 12, 126, 2
2009, 11, 126, 22
2014, 3, 125, 12
2008, 4, 125, 16
2014, 10, 125, 4
2012, 9, 125, 13
2015, 4, 124, 0
2013, 2, 124, 9
2014, 6, 124, 10
2010, 11, 124, 1
2015, 9, 124, 0
2012, 7, 123, 3
2014, 2, 123, 2
2014, 3, 123, 1
2011, 5, 123, 4
2015, 6, 123, 1
2015, 9, 123, 3
2015, 2, 122, 2
2013, 4, 122, 8
2015, 4, 122, 1
2012, 5, 122, 4
2015, 9, 122, 5
2010, 10, 122, 8
2010, 9, 121, 7
2011, 1, 121, 32
2015, 5, 121, 2
2010, 2, 121, 18
2014, 12, 121, 3
